"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"4616962","Floor Liner - 2nd Row - 2 Piece - Grey","Weathertech","Floor Mats","80.71","94.95","113.94"
"4513133","Floor Liner - 2nd Row - 2 Piece - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"4516962","Floor Liner - 2nd Row - 2 Piece - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"440862","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","72.21","84.95","101.94"
"441052","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"4412052","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"4413132","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"4413134","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"4413135","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"441402","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"4416232","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","89.21","104.95","125.94"
"4416965","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"4416966","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","80.71","94.95","109.19"
"4417042","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","89.21","104.95","125.94"
"4417045","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","89.21","104.95","125.94"
"443242","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","89.21","104.95","125.94"
"445662","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","89.21","104.95","125.94"
"445732","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"445733","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"448142","Floor Liner - 2nd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"470862","Floor Liner - 2nd Row - Cocoa","Weathertech","Floor Mats","72.21","84.95","101.94"
"4716232","Floor Liner - 2nd Row - Cocoa","Weathertech","Floor Mats","89.21","104.95","125.94"
"4716965","Floor Liner - 2nd Row - Cocoa","Weathertech","Floor Mats","80.71","94.95","113.94"
"4716966","Floor Liner - 2nd Row - Cocoa","Weathertech","Floor Mats","80.71","94.95","109.19"
"473242","Floor Liner - 2nd Row - Cocoa","Weathertech","Floor Mats","89.21","104.95","125.94"
"475662","Floor Liner - 2nd Row - Cocoa","Weathertech","Floor Mats","89.21","104.95","125.94"
"475732","Floor Liner - 2nd Row - Cocoa","Weathertech","Floor Mats","80.71","94.95","113.94"
"475733","Floor Liner - 2nd Row - Cocoa","Weathertech","Floor Mats","80.71","94.95","113.94"
"478142","Floor Liner - 2nd Row - Cocoa","Weathertech","Floor Mats","80.71","94.95","113.94"
"460862","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","72.21","84.95","101.94"
"461052","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","80.71","94.95","113.94"
"4612052","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","80.71","94.95","113.94"
"461402","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","80.71","94.95","113.94"
"4616232","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","89.21","104.95","125.94"
"4616965","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","80.71","94.95","113.94"
"4616966","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","80.71","94.95","109.19"
"4617042","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","89.21","104.95","125.94"
"4617045","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","89.21","104.95","125.94"
"463242","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","89.21","104.95","125.94"
"465662","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","89.21","104.95","125.94"
"465732","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","80.71","94.95","113.94"
"465733","Floor Liner - 2nd Row - Grey","Weathertech","Floor Mats","80.71","94.95","113.94"
"450862","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","72.21","84.95","101.94"
"451052","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"4512052","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"4513132","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"4513134","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"4513135","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"451402","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"4516232","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","89.21","104.95","125.94"
"4516965","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"4516966","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","80.71","94.95","109.19"
"4517042","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","89.21","104.95","125.94"
"4517045","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","89.21","104.95","125.94"
"453242","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","89.21","104.95","125.94"
"455662","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","89.21","104.95","125.94"
"455732","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"455733","Floor Liner - 2nd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"4416963","Floor Liner - 3rd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"4416964","Floor Liner - 3rd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"4417043","Floor Liner - 3rd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"4417046","Floor Liner - 3rd Row - Black","Weathertech","Floor Mats","80.71","94.95","113.94"
"4716963","Floor Liner - 3rd Row - Cocoa","Weathertech","Floor Mats","80.71","94.95","113.94"
"4716964","Floor Liner - 3rd Row - Cocoa","Weathertech","Floor Mats","80.71","94.95","113.94"
"4616963","Floor Liner - 3rd Row - Grey","Weathertech","Floor Mats","80.71","94.95","113.94"
"4616964","Floor Liner - 3rd Row - Grey","Weathertech","Floor Mats","80.71","94.95","113.94"
"4617043","Floor Liner - 3rd Row - Grey","Weathertech","Floor Mats","80.71","94.95","113.94"
"4617046","Floor Liner - 3rd Row - Grey","Weathertech","Floor Mats","80.71","94.95","113.94"
"4516963","Floor Liner - 3rd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"4516964","Floor Liner - 3rd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"4517043","Floor Liner - 3rd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"4517046","Floor Liner - 3rd Row - Tan","Weathertech","Floor Mats","80.71","94.95","113.94"
"441051IM","Floor Liner HP - 1st Row - Black","Weathertech","Floor Mats","127.46","149.95","179.94"
"4413131IM","Floor Liner HP - 1st Row - Black","Weathertech","Floor Mats","127.46","149.95","179.94"
"4416961IM","Floor Liner HP - 1st Row - Black","Weathertech","Floor Mats","127.46","149.95","172.44"
"4417041IM","Floor Liner HP - 1st Row - Black","Weathertech","Floor Mats","127.46","149.95","172.44"
"444851IM","Floor Liner HP - 1st Row - Black","Weathertech","Floor Mats","127.46","149.95","179.94"
"445731IM","Floor Liner HP - 1st Row - Black","Weathertech","Floor Mats","127.46","149.95","179.94"
"448141IM","Floor Liner HP - 1st Row - Black","Weathertech","Floor Mats","127.46","149.95","179.94"
"448331IM","Floor Liner HP - 1st Row - Black","Weathertech","Floor Mats","127.46","149.95","179.94"
"449301IM","Floor Liner HP - 1st Row - Black","Weathertech","Floor Mats","127.46","149.95","179.94"
"4716961IM","Floor Liner HP - 1st Row - Cocoa","Weathertech","Floor Mats","127.46","149.95","172.44"
"474851IM","Floor Liner HP - 1st Row - Cocoa","Weathertech","Floor Mats","127.46","149.95","179.94"
"475731IM","Floor Liner HP - 1st Row - Cocoa","Weathertech","Floor Mats","127.46","149.95","179.94"
"478141IM","Floor Liner HP - 1st Row - Cocoa","Weathertech","Floor Mats","127.46","149.95","179.94"
"478331IM","Floor Liner HP - 1st Row - Cocoa","Weathertech","Floor Mats","127.46","149.95","179.94"
"479301IM","Floor Liner HP - 1st Row - Cocoa","Weathertech","Floor Mats","127.46","149.95","179.94"
"461051IM","Floor Liner HP - 1st Row - Grey","Weathertech","Floor Mats","127.46","149.95","179.94"
"4616961IM","Floor Liner HP - 1st Row - Grey","Weathertech","Floor Mats","127.46","149.95","172.44"
"4617041IM","Floor Liner HP - 1st Row - Grey","Weathertech","Floor Mats","127.46","149.95","172.44"
"464851IM","Floor Liner HP - 1st Row - Grey","Weathertech","Floor Mats","127.46","149.95","179.94"
"465731IM","Floor Liner HP - 1st Row - Grey","Weathertech","Floor Mats","127.46","149.95","179.94"
"468331IM","Floor Liner HP - 1st Row - Grey","Weathertech","Floor Mats","127.46","149.95","179.94"
"469301IM","Floor Liner HP - 1st Row - Grey","Weathertech","Floor Mats","127.46","149.95","179.94"
"451051IM","Floor Liner HP - 1st Row - Tan","Weathertech","Floor Mats","127.46","149.95","179.94"
"4513131IM","Floor Liner HP - 1st Row - Tan","Weathertech","Floor Mats","127.46","149.95","179.94"
"4516961IM","Floor Liner HP - 1st Row - Tan","Weathertech","Floor Mats","127.46","149.95","172.44"
"4517041IM","Floor Liner HP - 1st Row - Tan","Weathertech","Floor Mats","127.46","149.95","172.44"
"454851IM","Floor Liner HP - 1st Row - Tan","Weathertech","Floor Mats","127.46","149.95","179.94"
"455731IM","Floor Liner HP - 1st Row - Tan","Weathertech","Floor Mats","127.46","149.95","179.94"
