"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"82215812AC","All-Weather Floor Mat - Front and Rear - Power Take Off - Black","RAM","Floor Mats","176.00","242.00","242.00"
"82215811AC","All-Weather Floor Mat - Front and Rear - Rams Head Logo - Black","RAM","Floor Mats","176.00","242.00","242.00"
"82215422AD","All-Weather Floor Mat - Front And Rear - Rams Head Logo - Crew Cab - Black With Red","RAM","Floor Mats","155.00","223.00","223.00"
"82215581AB","All-Weather Floor Mat - Quad Cab - Black","RAM","Floor Mats","155.00","223.00","223.00"
"82216607AA","All-Weather Floor Mat - RAM Logo - Crew Cab - Black","RAM","Floor Mats","116.00","166.00","166.00"
"82216609AA","All-Weather Floor Mat - RAM Logo - Crew Cab - Black","RAM","Floor Mats","61.10","81.55","81.55"
"82216606AB","All-Weather Floor Mat - RAM Logo - Quad Cab - Black","RAM","Floor Mats","49.20","65.65","65.65"
"82216269AB","All-Weather Floor Mat - Red Ram Logo - Crew Cab - Black","RAM","Floor Mats","155.00","223.00","223.00"
"82216610AA","All-Weather Floor Mat - Red RAM Logo - Crew Cab - Black","RAM","Floor Mats","61.10","81.55","81.55"
"82215759AC","All-Weather Floor Mat - Regular Cab - Black","RAM","Floor Mats","105.00","166.00","166.00"
"82215813AC","All-Weather Floor Mat - Regular Cab - PTO - Black","RAM","Floor Mats","105.00","166.00","166.00"
"82215421AD","All-Weather Floor Mats - Front And Rear - Quad Cab - Black With Red Rams Head Logo","RAM","Floor Mats","155.00","223.00","223.00"
"82216608AA","All-Weather Floor Mats - Rebel - Black","RAM","Floor Mats","123.00","175.00","175.00"
"82216268AB","All-Weather Floor Mats - Red Ram Logo - Quad Cab - Black","RAM","Floor Mats","155.00","223.00","223.00"
"82215323AD","All-Weather Slush Mat - Front and Rear - Quad Cab - Black","RAM","Floor Mats","155.00","223.00","223.00"
"82215322AD","All-Weather Slush Mat - Front and Rear - Quad Cab - Brown","RAM","Floor Mats","155.00","223.00","223.00"
"82215320AB","All-Weather Slush Mats - Front and Rear - Crew Cab - Brown","RAM","Floor Mats","155.00","223.00","223.00"
"82215323AB","All-Weather Slush Mats - Front and Rear - Quad Cab - Black","RAM","Floor Mats","155.00","223.00","223.00"
"82215322AB","All-Weather Slush Mats - Front and Rear - Quad Cab - Brown","RAM","Floor Mats","143.00","232.00","232.00"
"82213903","Cargo Area Rubber Mat - 118 Wheel Base","RAM","Floor Mats","395.00","537.00","537.00"
"82213904","Cargo Area Rubber Mat - 136 Wheel Base","RAM","Floor Mats","345.00","470.00","470.00"
"82213902","Cargo Area Rubber Mat - 159 Extended Wheel Base","RAM","Floor Mats","395.00","537.00","537.00"
"82213905","Cargo Area Rubber Mat - 159 Wheel Base","RAM","Floor Mats","372.00","502.00","502.00"
"82214431AB","Carpet Cargo Mat with Logo","RAM","Floor Mats","69.00","99.00","99.00"
"82215405","Carpeted Floor Mat - Front - Crew-Quad Cab - Black","RAM","Floor Mats","91.70","155.00","155.00"
"82215407","Carpeted Floor Mat - Front - Crew-Quad Cab - Brown","RAM","Floor Mats","91.70","155.00","155.00"
"82215409","Carpeted Floor Mat - Rear - Crew Cab - Black","RAM","Floor Mats","80.35","126.00","126.00"
"82215412","Carpeted Floor Mat - Rear - Crew Cab - Brown","RAM","Floor Mats","80.35","126.00","126.00"
"82215411","Carpeted Floor Mat - Rear - Quad Cab - Black","RAM","Floor Mats","80.35","126.00","126.00"
"82215410","Carpeted Floor Mat - Rear - Quad Cab - Brown","RAM","Floor Mats","80.35","126.00","126.00"
"82214428AB","Premium Carpet Mat - 1st Row - Vehicle Logo - Black","RAM","Floor Mats","117.00","172.00","172.00"
"82214968","Premium Carpet Mat - Front - Brand Logo - Black","RAM","Floor Mats","117.00","172.00","172.00"
"82213393AB","Premium Carpet Mat - Front - Vehicle Head Logo - Regular-Quad Cab - Black","RAM","Floor Mats","91.70","155.00","155.00"
"82213395AB","Premium Carpet Mat - Front - Vehicle Logo - Mega-Crew Cab - Black","RAM","Floor Mats","91.70","155.00","155.00"
"82213398AB","Premium Carpet Mat - Rear - Quad Cab - Black","RAM","Floor Mats","80.35","126.00","126.00"
"82213400AB","Premium Carpet Mat - Rear - Vehicle Logo - Crew Cab - Black","RAM","Floor Mats","80.35","126.00","126.00"
"82214429AB","Premium Carpet Mats - 2nd Row - Vehicle Logo - Black","RAM","Floor Mats","60.00","85.00","85.00"
"4418771","Floor Liner - 1st Row - Black","Weathertech","Floor Mats","124.91","146.95","168.99"
"4718771","Floor Liner - 1st Row - Cocoa","Weathertech","Floor Mats","124.91","146.95","168.99"
"472161","Floor Liner - 1st Row - Cocoa","Weathertech","Floor Mats","124.91","146.95","176.34"
"4618771","Floor Liner - 1st Row - Grey","Weathertech","Floor Mats","124.91","146.95","168.99"
"4518771","Floor Liner - 1st Row - Tan","Weathertech","Floor Mats","124.91","146.95","168.99"
"4416751","Floor Liner - 1st Row Over-The-Hump - Black","Weathertech","Floor Mats","150.41","176.95","203.49"
"4418911","Floor Liner - 1st Row Over-The-Hump - Black","Weathertech","Floor Mats","150.41","176.95","203.49"
"4718911","Floor Liner - 1st Row Over-The-Hump - Cocoa","Weathertech","Floor Mats","150.41","176.95","203.49"
"4618911","Floor Liner - 1st Row Over-The-Hump - Grey","Weathertech","Floor Mats","150.41","176.95","203.49"
"4518911","Floor Liner - 1st Row Over-The-Hump - Tan","Weathertech","Floor Mats","150.41","176.95","203.49"
"4418771IM","Floor Liner HP - 1st Row - Black","Weathertech","Floor Mats","133.41","156.95","180.49"
"4718771IM","Floor Liner HP - 1st Row - Cocoa","Weathertech","Floor Mats","133.41","156.95","180.49"
"4618771IM","Floor Liner HP - 1st Row - Grey","Weathertech","Floor Mats","133.41","156.95","180.49"
"4518771IM","Floor Liner HP - 1st Row - Tan","Weathertech","Floor Mats","133.41","156.95","180.49"
"4415453IM","Floor Liner HP - 2nd Row - Black","Weathertech","Floor Mats","114.71","134.95","155.19"
"4415455IM","Floor Liner HP - 2nd Row - Black","Weathertech","Floor Mats","114.71","134.95","155.19"
"442162IM","Floor Liner HP - 2nd Row - Black","Weathertech","Floor Mats","114.71","134.95","155.19"
"4715453IM","Floor Liner HP - 2nd Row - Cocoa","Weathertech","Floor Mats","114.71","134.95","155.19"
"4715455IM","Floor Liner HP - 2nd Row - Cocoa","Weathertech","Floor Mats","114.71","134.95","155.19"
"472162IM","Floor Liner HP - 2nd Row - Cocoa","Weathertech","Floor Mats","114.71","134.95","155.19"
"4615453IM","Floor Liner HP - 2nd Row - Grey","Weathertech","Floor Mats","114.71","134.95","155.19"
"4615455IM","Floor Liner HP - 2nd Row - Grey","Weathertech","Floor Mats","114.71","134.95","155.19"
"462162IM","Floor Liner HP - 2nd Row - Grey","Weathertech","Floor Mats","114.71","134.95","155.19"
"4515453IM","Floor Liner HP - 2nd Row - Tan","Weathertech","Floor Mats","114.71","134.95","155.19"
"4515455IM","Floor Liner HP - 2nd Row - Tan","Weathertech","Floor Mats","114.71","134.95","155.19"
"452162IM","Floor Liner HP - 2nd Row - Tan","Weathertech","Floor Mats","114.71","134.95","155.19"
"82215195","Adjustable Pintle Plate - 5000 lb","RAM","Hitch and Accessories","496.00","634.00","634.00"
"68628508AA","Ball Mount Kit","RAM","Hitch and Accessories","111.00","131.00","131.00"
"82215040AC","Electronic Trailer Brake Controller","RAM","Hitch and Accessories","331.00","457.00","457.00"
"82215278AF","Electronic Trailer Brake Controller","RAM","Hitch and Accessories","349.00","481.00","481.00"
"82214742AB","Fifth Wheel Hitch - Direct Mount - 20000 lb","RAM","Hitch and Accessories","1140.00","1550.00","1550.00"
"82214743AB","Fifth Wheel Hitch - Direct Mount - 25000 lb","RAM","Hitch and Accessories","1230.00","1675.00","1675.00"
"82213824","Fifth Wheel Hitch - Fixed Legs - 20000 lb","RAM","Hitch and Accessories","162.00","242.00","242.00"
"82213822AB","Fifth Wheel Hitch - Heavy Duty - 20000 lb","RAM","Hitch and Accessories","726.00","987.00","987.00"
"82213823","Fifth Wheel Hitch Glider - 20000 lb","RAM","Hitch and Accessories","297.00","413.00","413.00"
"82215838AB","Fifth Wheel Hitch Prep Kit","RAM","Hitch and Accessories","341.00","569.00","569.00"
"82213665AC","Fifth Wheel Hitch Prep Package","RAM","Hitch and Accessories","279.00","389.00","389.00"
"82215837AC","Fifth Wheel Prep Kit","RAM","Hitch and Accessories","262.00","366.00","366.00"
"82215769AD","Fifth Wheel Receiver Package - 30000 lb","RAM","Hitch and Accessories","1345.00","1810.00","1810.00"
"82216057AD","Gooseneck Ball Kit","RAM","Hitch and Accessories","297.00","413.00","413.00"
"82216058AD","Gooseneck Ball Kit - 3 Inch","RAM","Hitch and Accessories","297.00","413.00","413.00"
"82215839AC","Gooseneck Prep Kit","RAM","Hitch and Accessories","402.00","546.00","546.00"
"82215840AB","Gooseneck Prep Kit","RAM","Hitch and Accessories","444.00","740.00","740.00"
"82213981AC","Gooseneck Prep Package","RAM","Hitch and Accessories","367.00","506.00","506.00"
"82213565","Hitch Ball - 5000 lb - 2 Inch - Chrome","RAM","Hitch and Accessories","24.85","37.90","37.90"
"82213547","Hitch Ball Mount Adapter - 0.75 Inch Rise","RAM","Hitch and Accessories","33.45","48.65","48.65"
"82213548","Hitch Ball Mount Adapter - 2.75 Inch Rise","RAM","Hitch and Accessories","34.55","51.85","51.85"
"82214340AC","Hitch Receiver - 2 inch - Class II","RAM","Hitch and Accessories","243.95","407.00","407.00"
"82215222AD","Hitch Receiver - 2 Inch - Class IV","RAM","Hitch and Accessories","291.00","406.00","406.00"
"82213897AB","Hitch Receiver - 2 Inch - Class IV - RAM Cover","RAM","Hitch and Accessories","431.00","586.00","586.00"
"82208455AB","Hitch Receiver Plug - 2 Inch - Mopar Logo","RAM","Hitch and Accessories","15.15","23.90","23.90"
"82208454AB","Hitch Receiver Plug - RAM Head Logo","RAM","Hitch and Accessories","16.20","24.90","24.90"
"68628507AA","Integrated Trailer Brake Control","RAM","Hitch and Accessories","271.00","320.00","320.00"
"82219240AB","Integrated Trailer Brake Control Module","RAM","Hitch and Accessories","235.00","336.00","336.00"
"82219232AB","Integrated Trailer Brake Controller","RAM","Hitch and Accessories","235.00","336.00","336.00"
"68723418AA","Integrated Trailer Brake Module","RAM","Hitch and Accessories","256.00","300.00","300.00"
"68628505AA","Towing Starter Kit","RAM","Hitch and Accessories","78.30","92.70","92.70"
"68628506AA","Towing Starter Kit","RAM","Hitch and Accessories","83.45","97.85","97.85"
"82213563","Trailer Hitch Ball - 3500 lb - Chrome","RAM","Hitch and Accessories","22.70","34.65","34.65"
"82216302AA","Trailer Hitch Cover - RAM Logo","RAM","Hitch and Accessories","13.00","21.75","21.75"
"82215197","Trailer Tow Adapter Kit","RAM","Hitch and Accessories","113.00","178.00","178.00"
"82215198","Trailer Tow Adapter Kit","RAM","Hitch and Accessories","179.00","265.00","265.00"
"82215194","Trailer Tow Adapter Kit - TeleSwivel 210","RAM","Hitch and Accessories","461.00","629.00","629.00"
