"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"J182RKRS2","RKR Full Length Rock Rail Step System - Textured Black","N-Fab","Step and Rocker Bars","450.00","499.99","499.99"
"J194TRKRS4","RKR Full Length Rock Rail Step System - Textured Black","N-Fab","Step and Rocker Bars","585.00","649.99","779.99"
"NBJ184-TX","Roan Cab Length Running Board - Textured Black","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
"NBJ194T-TX","Roan Cab Length Running Board - Textured Black","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
"TSJ074-TX","Trailslider Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","720.00","799.99","799.99"
"TSJ184-TX","Trailslider Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","720.00","799.99","799.99"
"TSJ194-TX","Trailslider Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","900.00","999.99","1199.99"
"J0764-GB","Wheel To Wheel Nerf Step Bar - Gloss Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"J1846-GB","Wheel To Wheel Nerf Step Bar - Gloss Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"J1866-GB","Wheel To Wheel Nerf Step Bar - Gloss Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"J1980T-GB","Wheel To Wheel Nerf Step Bar - Gloss Black","N-Fab","Step and Rocker Bars","270.00","299.99","359.99"
"J0746","Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"J0764","Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"J1246","Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"J1846","Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"J1866","Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"J1980T","Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","359.99"
"TRUCK-STEP-HOOP-BLK","Bar Side Steps - Black - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-HOOP-CRM","Bar Side Steps - Chrome - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"BLACKOUT-STEPS-SUV","Blackout Step Bars - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"BLACKOUT-STEP-TRUCK","Blackout Step Bars - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-NERF-BLK","Nerf Bar - Black - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-NERF-BLK","Nerf Bar - Black - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-NERF-CRM","Nerf Bar - Chrome - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-NERF-CRM","Nerf Bar - Chrome - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-POWER-BLK","Power-Step - Black - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-POWER-BLK","Power-Step - Black - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-POWER-CRM","Power-Step - Chrome - SUV","Universal","Step and Rocker Bars","0.01","0.01","0.01"
"TRUCK-STEP-POWER-CRM","Power-Step - Chrome - Truck","Universal","Step and Rocker Bars","0.01","0.01","0.01"
"ROCK-SLIDERS","Rock Sliders","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"ROCK-SLIDERS-STEPS","Rock Sliders with Steps","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-RUNNING-BLK","Running Boards - black - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-  RUNNING-BLK","Running Boards - Black - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-RUNNING-CRM","Running Boards - Chrome - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-  RUNNING-CRM","Running Boards - Chrome - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-WHEEL-BLK","Wheel to Wheel - Black - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-WHEEL-CRM","Wheel to Wheel - Chrome - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-WHEEL-BLK","Wheel to Wheel Step - Black - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-WHEEL-CRM","Wheel to Wheel Step - Chrome - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"68683148AA","Carpet Trunk - EZ 4x4","Jeep","Storage","40.99","49.99","49.99"
"82216528AA","Mirror Storage Bag - Jeep Logo - Black","Jeep","Storage","55.00","79.85","79.85"
"68722560AA","Mobile Storage Bag - Rear Side","Jeep","Storage","166.00","196.00","196.00"
"82215429","Molle Bag - Jeep Logo - Black","Jeep","Storage","153.00","228.00","228.00"
"68679577AA","Roof Panel Storage Jacket","Jeep","Storage","83.40","90.70","90.70"
"68679578AA","Roof Panel Storage Jacket - Black","Jeep","Storage","83.40","90.70","90.70"
"68683147AA","Sliding Lockable Entry Panel - Rear - EZ 4x4","Jeep","Storage","81.99","99.99","99.99"
"68625071AA","Sportsbar Mounted Mobile Cargo Storage Bag with Molle Straps - Set of 2","Jeep","Storage","141.00","166.00","166.00"
"82215910","Storage Bag - Jeep Logo - Black","Jeep","Storage","61.45","87.40","87.40"
"310RR152","Sunglass Holder - Jeep Logo","Jeep","Storage","22.70","40.05","40.05"
"68743836AA","Tailgate Tire Table Storage Bag - Large","Jeep","Storage","47.52","57.95","57.95"
"68743835AA","Tailgate Tire Table Storage Bag - Medium","Jeep","Storage","45.32","53.95","53.95"
"68683145AA","Trunk Folding Security Box - EZ 4x4","Jeep","Storage","368.99","449.99","449.99"
"68683146AA","Trunk Folding Security Box - EZ 4x4","Jeep","Storage","368.99","449.99","449.99"
"82210548","Window Storage Bag - Jeep Logo - Black vinyl","Jeep","Storage","145.00","215.00","215.00"
"77073007AA","Lift Kit - 2 inch","Jeep","Suspension","6200.00","7750.00","7750.00"
"77073008AA","Lift Kit - 2 inch","Jeep","Suspension","5200.00","6500.00","6500.00"
"77073009AA","Lift Kit - 2 inch","Jeep","Suspension","6200.00","7750.00","7750.00"
"77072430AH","Lift Kit - 2 inch - 2.0L Engine","Jeep","Suspension","1795.00","2165.00","2165.00"
"77072397AH","Lift Kit - 2 inch - 2.0L Turbo Engine","Jeep","Suspension","1795.00","2165.00","2165.00"
"77072522AE","Lift Kit - 2 inch - 2.0L Turbo PHEV Engine","Jeep","Suspension","1795.00","2165.00","2165.00"
"77072399AH","Lift Kit - 2 inch - 3.0L Diesel or 6.4L V8 Engine","Jeep","Suspension","1795.00","2165.00","2165.00"
"77072469AF","Lift Kit - 2 inch - 3.0L Engine","Jeep","Suspension","1795.00","2165.00","2165.00"
"77072395AH","Lift Kit - 2 inch - 3.6L Engine","Jeep","Suspension","1795.00","2165.00","2165.00"
"77072396AH","Lift Kit - 2 inch - 3.6L V6 Engine","Jeep","Suspension","1795.00","2165.00","2165.00"
"77072468AF","Lift Kit - 2 inch - 3.6L V6 Engine","Jeep","Suspension","1795.00","2165.00","2165.00"
"68727413AA","Lift Kit - 4 inch","Jeep","Suspension","6374.39","7679.99","7679.99"
"68727414AA","Lift Kit - 4 inch","Jeep","Suspension","6374.39","7679.99","7679.99"
"LIFT-KIT-2","2 Inch Lift Kit","Universal","Suspension","0.01","0.02","1550.00"
"LIFT-KIT-4","4 Inch Lift Kit","Universal","Suspension","0.01","0.02","3150.00"
"LOWERING-KIT-SUV","Lowering kit for SUVs","Universal","Suspension","0.01","0.02","0.02"
"LOWERING-KIT-TRUCKS","Lowering kit Trucks","Universal","Suspension","0.01","0.02","0.02"
"77072359","FOX Shock - Rear - 4 Inch - 4 Door","Jeep","Suspension Accessories","293.00","401.00","401.00"
"77073006AA","Steering Damper","Jeep","Suspension Accessories","285.00","409.00","409.00"
"RADIAL-TIRES-BEST-15","Best Radial Tires - 15 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-16","Best Radial Tires - 16 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-17","Best Radial Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-18","Best Radial Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-19","Best Radial Tires - 19 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-20","Best Radial Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-22","Best Radial Tires - 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BEST-SETOF5-17","Best set of 5 tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BEST-SETOF5-18","Best set of 5 tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BEST-SETOF5-20","Best set of 5 tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BEST-SETOF5-22","Best set of 5 tires - 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BEST-SETOF5-24","Best set of 5 tires - 24 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-BEST-SETOF5-26","Best set of 5 tires - 26 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-16","Best Truck Tires 16 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-17","Best Truck Tires 17 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-18","Best Truck Tires 18 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-20","Best Truck Tires 20 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-22","Best Truck Tires 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-24","Best Truck Tires 24 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-26","Best Truck Tires 26 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-31","Best Truck Tires 31 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-33","Best Truck Tires 33 inch","Universal","Tires","0.01","0.02","2200.00"
"TIRES-TRUCK-BEST-35","Best Truck Tires 35 inch","Universal","Tires","0.01","0.02","2400.00"
