"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"82213605AC","Side Step - Tubular - Crew Cab - Wheel-To-Wheel - 8.0 Feet - AWD - Stainless Steel With Black Step","RAM","Step and Rocker Bars","695.00","936.00","936.00"
"82215089AC","Side Step - Tubular - Mega Cab - Black","RAM","Step and Rocker Bars","512.00","687.00","687.00"
"82213534AC","Side Step - Tubular - Mega Cab - Wheel-To-Wheel - 6.4 Feet - Stainless Steel With Black Step Pad","RAM","Step and Rocker Bars","1240.00","1550.00","1550.00"
"82216481AA","Side Step - Tubular - Quad Cab - Black","RAM","Step and Rocker Bars","445.00","603.00","603.00"
"82215308AC","Side Step - Tubular - Quad Cab - Stainless Steel","RAM","Step and Rocker Bars","529.00","710.00","710.00"
"82215299AC","Side Step - Tubular - Quad Cab - Wheel-To-Wheel - 6.4 Feet - Stainless Steel With Black Step Pad","RAM","Step and Rocker Bars","606.00","807.00","807.00"
"82215087AC","Side Step - Tubular - Regular Cab - Black","RAM","Step and Rocker Bars","346.00","470.00","470.00"
"82213273AE","Side Step - Tubular Oval - Crew Cab - 5 Inch - Black Aluminum With Step Pad","RAM","Step and Rocker Bars","462.00","625.00","625.00"
"82213591AE","Side Step - Tubular Oval - Crew Cab - 5 Inch - Chromed Aluminum With Black Step Pad","RAM","Step and Rocker Bars","667.00","891.00","891.00"
"82213659AE","Side Step - Tubular Oval - Mega Cab - 5 Inch - Chromed Aluminum With Black Step Pad","RAM","Step and Rocker Bars","690.00","920.00","920.00"
"82213661AC","Side Step - Tubular Oval - Mega Cab - 5 Inch - Stainless Steel With Black Step Pad","RAM","Step and Rocker Bars","628.00","847.00","847.00"
"82213270AE","Side Step - Tubular Oval - Quad Cab - 5 Inch - Black Aluminum With Black Step Pad","RAM","Step and Rocker Bars","445.00","603.00","603.00"
"82213589AE","Side Step - Tubular Oval - Quad Cab - 5 Inch - Chromed Aluminum With Black Step Pad","RAM","Step and Rocker Bars","657.00","876.00","876.00"
"82213269AE","Side Step - Tubular Oval - Regular Cab - 5 Inch - Black Aluminum With Black Step Pad","RAM","Step and Rocker Bars","346.00","470.00","470.00"
"82213588AE","Side Step - Tubular Oval - Regular Cab - 5 Inch - Chromed Aluminum With Black Step Pad","RAM","Step and Rocker Bars","545.00","731.00","731.00"
"82213614AB","Side Steps - 5 Inch - Tubular - Crew Cab - Stainless Steel With Black Step Pad","RAM","Step and Rocker Bars","579.00","776.00","776.00"
"82213612AE","Side Steps - 5 Inch - Tubular - Mega Cab - Black Aluminum","RAM","Step and Rocker Bars","424.00","572.00","572.00"
"TRUCK-STEP-HOOP-BLK","Bar Side Steps - Black - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-HOOP-CRM","Bar Side Steps - Chrome - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"BLACKOUT-STEPS-SUV","Blackout Step Bars - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"BLACKOUT-STEP-TRUCK","Blackout Step Bars - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-NERF-BLK","Nerf Bar - Black - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-NERF-BLK","Nerf Bar - Black - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-NERF-CRM","Nerf Bar - Chrome - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-NERF-CRM","Nerf Bar - Chrome - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-POWER-BLK","Power-Step - Black - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-POWER-BLK","Power-Step - Black - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-POWER-CRM","Power-Step - Chrome - SUV","Universal","Step and Rocker Bars","0.01","0.01","0.01"
"TRUCK-STEP-POWER-CRM","Power-Step - Chrome - Truck","Universal","Step and Rocker Bars","0.01","0.01","0.01"
"ROCK-SLIDERS","Rock Sliders","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"ROCK-SLIDERS-STEPS","Rock Sliders with Steps","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-RUNNING-BLK","Running Boards - black - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-  RUNNING-BLK","Running Boards - Black - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-RUNNING-CRM","Running Boards - Chrome - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-  RUNNING-CRM","Running Boards - Chrome - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-WHEEL-BLK","Wheel to Wheel - Black - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"SUV-STEP-WHEEL-CRM","Wheel to Wheel - Chrome - SUV","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-WHEEL-BLK","Wheel to Wheel Step - Black - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"TRUCK-STEP-WHEEL-CRM","Wheel to Wheel Step - Chrome - Truck","Universal","Step and Rocker Bars","0.01","0.02","0.02"
"P5155797","Lift Kit - 2 inch","RAM","Suspension","763.00","1025.00","1025.00"
"77072424AE","Lift Kit - 2 inch - Crew Cab - 5.7L","RAM","Suspension","1840.00","2160.00","2160.00"
"P5156106","Lift Kit - 4 inch - Premium Bilstein Struts","RAM","Suspension","2545.00","3185.00","3185.00"
"P5156107","Lift Kit - 4 inch - Strut Spacer","RAM","Suspension","2475.00","3095.00","3095.00"
"LIFT-KIT-2","2 Inch Lift Kit","Universal","Suspension","0.01","0.02","1550.00"
"LIFT-KIT-4","4 Inch Lift Kit","Universal","Suspension","0.01","0.02","3150.00"
"LIFT-KIT-6","6 Inch Lift Kit","Universal","Suspension","0.01","0.02","5100.00"
"LEVELING-KIT","Leveling Kit","Universal","Suspension","0.01","0.02","1100.00"
"LOWERING-KIT-AUTOS","Lowering kit for Cars","Universal","Suspension","0.01","0.02","0.02"
"LOWERING-KIT-SUV","Lowering kit for SUVs","Universal","Suspension","0.01","0.02","0.02"
"LOWERING-KIT-TRUCKS","Lowering kit Trucks","Universal","Suspension","0.01","0.02","0.02"
"PERFORMANCE-  TIRES-BEST-16","Best Performance Tires - 16 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-  TIRES-BEST-17","Best Performance Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-  TIRES-BEST-18","Best Performance Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-  TIRES-BEST-19","Best Performance Tires - 19 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-  TIRES-BEST-20","Best Performance Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-  TIRES-BEST-21","Best Performance Tires - 21 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-15","Best Radial Tires - 15 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-16","Best Radial Tires - 16 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-17","Best Radial Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-18","Best Radial Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-19","Best Radial Tires - 19 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-20","Best Radial Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRES-BEST-22","Best Radial Tires - 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-16","Best Truck Tires 16 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-17","Best Truck Tires 17 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-18","Best Truck Tires 18 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-20","Best Truck Tires 20 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-22","Best Truck Tires 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-24","Best Truck Tires 24 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-26","Best Truck Tires 26 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-31","Best Truck Tires 31 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUCK-BEST-33","Best Truck Tires 33 inch","Universal","Tires","0.01","0.02","2200.00"
"TIRES-TRUCK-BEST-35","Best Truck Tires 35 inch","Universal","Tires","0.01","0.02","2400.00"
"TIRES-TRUCK-BEST-37","Best Truck Tires 37 inch","Universal","Tires","0.01","0.02","2600.00"
"PERFORMANCE-T  IRES-BETTER-16","Better Performance Tires - 16 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-T  IRES-BETTER-17","Better Performance Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-T  IRES-BETTER-18","Better Performance Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-T  IRES-BETTER-19","Better Performance Tires - 19 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-T  IRES-BETTER-20","Better Performance Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-T  IRES-BETTER-21","Better Performance Tires - 21 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRE  S-BETTER-15","Better Radial Tires - 15 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRE  S-BETTER-16","Better Radial Tires - 16 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRE  S-BETTER-17","Better Radial Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRE  S-BETTER-18","Better Radial Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRE  S-BETTER-19","Better Radial Tires - 19 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRE  S-BETTER-20","Better Radial Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"RADIAL-TIRE  S-BETTER-22","Better Radial Tires - 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-16","Better Truck Tires 16 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-17","Better Truck Tires 17 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-18","Better Truck Tires 18 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-20","Better Truck Tires 20 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-22","Better Truck Tires 22 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-24","Better Truck Tires 24 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-26","Better Truck Tires 26 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-31","Better Truck Tires 31 inch","Universal","Tires","0.01","0.02","0.02"
"TIRES-TRUC  K-BETTER-33","Better Truck Tires 33 inch","Universal","Tires","0.01","0.02","2000.00"
"TIRES-TRUC  K-BETTER-35","Better Truck Tires 35 inch","Universal","Tires","0.01","0.02","2100.00"
"TIRES-TRUC  K-BETTER-37","Better Truck Tires 37 inch","Universal","Tires","0.01","0.02","2400.00"
"PERFORMANCE-TIRES-16","Good Performance Tires  - 16 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-TIRES-17","Good Performance Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
