"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"68679574AA","Interchangeable Roof Panel","Jeep","Hard and Soft Tops","1388.39","1559.99","1559.99"
"68679575AA","Interchangeable Roof Panel","Jeep","Hard and Soft Tops","1427.59","1659.99","1659.99"
"68679576AA","Interchangeable Roof Panel","Jeep","Hard and Soft Tops","1404.36","1494.00","1494.00"
"82213649","Soft Top - 2 Door - Black Standard Fabric","Jeep","Hard and Soft Tops","1320.00","1675.00","1675.00"
"82213862","Soft Top Boot - 4 Door - Black","Jeep","Hard and Soft Tops","224.00","309.00","309.00"
"82213651","Soft Top Complete Kit - 4 Door - Black Standard Fabric","Jeep","Hard and Soft Tops","1475.00","1875.00","1875.00"
"82213652","Soft Top Complete Kit - Spring Lift Assist - Black Premium Acrylic","Jeep","Hard and Soft Tops","2170.00","2530.00","2530.00"
"82215992","Soft Top Kit","Jeep","Hard and Soft Tops","2600.00","3270.00","3270.00"
"82215803AB","Soft Top Kit - 2 Door - Black","Jeep","Hard and Soft Tops","2020.00","2545.00","2545.00"
"82215806AB","Soft Top Kit - 2 Door - Black vinyl","Jeep","Hard and Soft Tops","2215.00","2785.00","2785.00"
"82215804AB","Soft Top Kit - 2 Door - Black Vinyl with Clear Windows","Jeep","Hard and Soft Tops","2200.00","2755.00","2755.00"
"82215147AB","Soft Top Kit - 2 Door - Black Vinyl with Tinted Windows","Jeep","Hard and Soft Tops","2600.00","3265.00","3265.00"
"82215916AB","Soft Top Kit - 4 Door - Black Acrylic","Jeep","Hard and Soft Tops","2600.00","3270.00","3270.00"
"82215915AB","Soft Top Kit - 4 Door - Black Vinyl","Jeep","Hard and Soft Tops","2115.00","2660.00","2660.00"
"82215914AB","Soft Top Kit - 4 Door - Premium Tan Tinted","Jeep","Hard and Soft Tops","2685.00","3380.00","3380.00"
"82215805AB","Soft Top Kit - 4 Door - Sailcloth - Black","Jeep","Hard and Soft Tops","2215.00","2785.00","2785.00"
"82215614","Soft Top Kit - Black","Jeep","Hard and Soft Tops","2195.00","2760.00","2760.00"
"82215389AC","Sun Bonnet Soft Top - 2 Door - Black Mesh","Jeep","Hard and Soft Tops","153.00","228.00","228.00"
"82215391AC","Sun Bonnet Soft Top - 2 Door - Black Vinyl","Jeep","Hard and Soft Tops","194.00","287.00","287.00"
"82215390AC","Sun Bonnet Soft Top - 4 Door - Black Mesh","Jeep","Hard and Soft Tops","153.00","228.00","228.00"
