"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"82216113AA","Lugnut Kit - 4 Piece - Black","Jeep","Wheel Accessories","64.90","109.00","109.00"
"82210884AB","Spare Tire Cover - Adventure","Jeep","Wheel Accessories","63.65","94.00","94.00"
"82208050AC","Spare Tire Cover - American Flag - Black Denim","Jeep","Wheel Accessories","63.65","94.00","94.00"
"82209949AB","Spare Tire Cover - Black Jeep Logo - Black Denim","Jeep","Wheel Accessories","60.55","89.30","89.30"
"82214219","Spare Tire Cover - Cloth - Willys Logo","Jeep","Wheel Accessories","63.65","94.00","94.00"
"82215446AB","Spare Tire Cover - Compass Logo","Jeep","Wheel Accessories","80.85","117.00","117.00"
"82209951AB","Spare Tire Cover - Custom Fit","Jeep","Wheel Accessories","60.55","89.30","89.30"
"82209950AB","Spare Tire Cover - Grey Jeep Logo","Jeep","Wheel Accessories","60.55","89.30","89.30"
"82212318","Spare Tire Cover - Islander Edition","Jeep","Wheel Accessories","63.65","94.00","94.00"
"82215967","Spare Tire Cover - Jeep Grille Logo 3 Color - Black Vinyl","Jeep","Wheel Accessories","80.85","117.00","117.00"
"82210883AB","Spare Tire Cover - Jeep Logo - Black Denim","Jeep","Wheel Accessories","63.65","94.00","94.00"
"82210886AB","Spare Tire Cover - Pavement","Jeep","Wheel Accessories","63.65","94.00","94.00"
"82213743","Spare Tire Cover - Red Rubicon Logo - 10th Anniversary","Jeep","Wheel Accessories","63.65","94.00","94.00"
"82209952AB","Spare Tire Cover - White Jeep Logo - Black Denim","Jeep","Wheel Accessories","60.55","89.30","89.30"
"82209953AB","Spare Tire Cover - White Jeep Logo - Black Denim","Jeep","Wheel Accessories","60.55","89.30","89.30"
"82216081AA","Spare Tire Lock","Jeep","Wheel Accessories","53.90","79.85","79.85"
"82215721","Valve Stem Cap - 4 Piece - Blue Mopar Logo - Black","Jeep","Wheel Accessories","16.20","23.85","23.85"
"82214622","Valve Stem Cap - 4 Piece - Jeep Logo - Black","Jeep","Wheel Accessories","17.30","26.00","26.00"
"82215722","Valve Stem Cap - 4 Piece - Silver Mopar Logo - Black","Jeep","Wheel Accessories","16.20","23.85","23.85"
"82211462","Wheel Lock Kit with Key - 4 Piece - Chrome","Jeep","Wheel Accessories","65.75","94.95","94.95"
"82214871AA","Wheel Lock Kit with Key - 4 Piece - Chrome","Jeep","Wheel Accessories","63.65","91.75","91.75"
"82210508AA","Wheel Lock Kit with Key - 4 Piece- Exposed Lug Nuts","Jeep","Wheel Accessories","63.65","91.75","91.75"
