"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"82212072AD","Removable Roof Rack - Black","Jeep","Roof Racks and Cargo Carriers and Bikes","278.00","382.00","382.00"
"82215387AB","Removable Roof Rack Kit","Jeep","Roof Racks and Cargo Carriers and Bikes","296.00","406.00","406.00"
"TRCBMP01","Removable Roof Rack Kit","Jeep","Roof Racks and Cargo Carriers and Bikes","706.00","832.00","832.00"
"TRCBKL01","Roof Mount Cross Bar - Cherokee - Thule","Jeep","Roof Racks and Cargo Carriers and Bikes","706.00","832.00","832.00"
"TRYRR001","Roof Mount Cross Bar - Thule","Jeep","Roof Racks and Cargo Carriers and Bikes","534.00","629.00","629.00"
"TRAB4547","Roof Rack - Removable - Black Anodized Aluminum","Jeep","Roof Racks and Cargo Carriers and Bikes","249.00","422.00","422.00"
"82212352","Roof Rack Cross Bar","Jeep","Roof Racks and Cargo Carriers and Bikes","278.00","382.00","382.00"
"TRCBBV01","Roof Rack Cross Bar","Jeep","Roof Racks and Cargo Carriers and Bikes","534.00","629.00","629.00"
"68529228AB","Roof Rack Cross Bar - Black","Jeep","Roof Racks and Cargo Carriers and Bikes","351.00","512.00","512.00"
"82216036AC","Roof Rack Cross Bar - Black","Jeep","Roof Racks and Cargo Carriers and Bikes","285.00","384.00","384.00"
"68442426AC","Roof Rack Cross Bar - Bright","Jeep","Roof Racks and Cargo Carriers and Bikes","379.00","632.00","632.00"
"82214656AA","Roof Rail - Bright Aluminum","Jeep","Roof Racks and Cargo Carriers and Bikes","236.00","319.00","319.00"
"82214657","Roof Rails - Black Aluminum","Jeep","Roof Racks and Cargo Carriers and Bikes","244.00","330.00","330.00"
"TRCBWL01","Roof-Mount Cross Bar - Thule","Jeep","Roof Racks and Cargo Carriers and Bikes","674.00","794.00","794.00"
"82215680","Deluxe Molded Splash Guard - Front - 2 Piece - Jeep Logo - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82213880AB","Deluxe Molded Splash Guard - Front - Jeep Logo - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82214128","Deluxe Molded Splash Guard - Front - Jeep Logo - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82216495AA","Deluxe Molded Splash Guard - Front - Jeep Logo - Black","Jeep","Splash Guards","62.50","90.60","90.60"
"82212019AE","Deluxe Molded Splash Guard - Front - No Logo - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82214642AE","Deluxe Molded Splash Guard - Front - No Logo - Black","Jeep","Splash Guards","56.10","82.05","82.05"
"82216018AC","Deluxe Molded Splash Guard - Front - No Logo - Black","Jeep","Splash Guards","59.25","85.20","85.20"
"82216155AB","Deluxe Molded Splash Guard - Front - No Logo - Black","Jeep","Splash Guards","194.00","287.00","287.00"
"82212020AE","Deluxe Molded Splash Guard - Rear - 2 Piece - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82215681","Deluxe Molded Splash Guard - Rear - 2 Piece - Jeep Logo - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82216326AB","Deluxe Molded Splash Guard - Rear - 2 Piece - Jeep Logo - Black","Jeep","Splash Guards","61.45","89.55","89.55"
"82214127AB","Deluxe Molded Splash Guard - Rear - Jeep Logo - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82214643AG","Deluxe Molded Splash Guard - Rear - Jeep Logo - Black","Jeep","Splash Guards","72.25","99.30","99.30"
"82215333AB","Deluxe Molded Splash Guard - Rear - Jeep Logo - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82215611","Deluxe Molded Splash Guard - Rear - Jeep Logo - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82215679AB","Deluxe Molded Splash Guard - Rear - Jeep Logo - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82216019AB","Deluxe Molded Splash Guard - Rear - Jeep Logo - Black","Jeep","Splash Guards","62.50","90.60","90.60"
"82216494AA","Deluxe Molded Splash Guard - Rear - Jeep Logo - Black","Jeep","Splash Guards","62.50","90.60","90.60"
"82216159AB","Deluxe Molded Splash Guard - Rear - No Logo - Black","Jeep","Splash Guards","194.00","287.00","287.00"
"82216377AB","Deluxe Molded Splash Guard - Rear - Wide Track Axles - Jeep Logo - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82210233","Deluxe Molded Splash Guards - Front - Jeep Logo - Black","Jeep","Splash Guards","52.60","77.85","77.85"
"82212513","Deluxe Molded Splash Guards - Front - Jeep Logo - Black","Jeep","Splash Guards","49.60","72.30","72.30"
"82210232","Deluxe Molded Splash Guards - Rear - Jeep Logo - Black","Jeep","Splash Guards","52.60","77.85","77.85"
"82212514","Deluxe Molded Splash Guards - Rear - Jeep Logo - Black","Jeep","Splash Guards","49.60","72.30","72.30"
"82213879AB","Deluxe Molded Splash Guards - Rear - Jeep Logo - Black","Jeep","Splash Guards","55.00","80.95","80.95"
"82214085","Deluxe Molded Splash Guards - Rear - Jeep Logo - Black","Jeep","Splash Guards","57.15","83.10","83.10"
"82203706AB","Flat Splash Guards - Front or Rear - Black","Jeep","Splash Guards","48.50","71.20","71.20"
"82215606AC","Heavy-Duty Rock Rail","Jeep","Step and Rocker Bars","1115.00","1420.00","1420.00"
"82215608","Molded Side Step - Black","Jeep","Step and Rocker Bars","547.00","735.00","735.00"
"82215128","Rock Rail - 2 Door - Black","Jeep","Step and Rocker Bars","410.00","557.00","557.00"
"82215129AC","Rock Rail - 2 Door - Satin Black","Jeep","Step and Rocker Bars","889.00","1195.00","1195.00"
"82215126","Rock Rail - 4 Door - Black","Jeep","Step and Rocker Bars","440.00","598.00","598.00"
"82215165AC","Rock Rail - 4 Door - Satin Black","Jeep","Step and Rocker Bars","1010.00","1375.00","1375.00"
"82214201AG","Rock Rail - Jeep Logo - Satin Black","Jeep","Step and Rocker Bars","1085.00","1490.00","1490.00"
"82213525AD","Rock Rail - Satin Black","Jeep","Step and Rocker Bars","972.00","1330.00","1330.00"
"82213941AC","Rock Rail - Satin Black","Jeep","Step and Rocker Bars","1190.00","1630.00","1630.00"
"82214641AE","Rock Rail - Satin Black","Jeep","Step and Rocker Bars","903.00","1130.00","1130.00"
"82215605AB","Rock Rail - Satin Black","Jeep","Step and Rocker Bars","494.00","670.00","670.00"
"82216017AF","Rock Rail - Satin Black","Jeep","Step and Rocker Bars","815.00","1095.00","1095.00"
"ROCK-RAIL-TRIM-COVER","Rock Rail Trim Cover","Jeep","Step and Rocker Bars","0.00","0.00","0.00"
"82216460AA","Rock Rail Trim Cover - Red","Jeep","Step and Rocker Bars","37.35","62.30","62.30"
"82216468AA","Rock Rail Trim Cover - Sting Gray","Jeep","Step and Rocker Bars","37.35","62.30","62.30"
"82216467AA","Rock Rail Trim Cover - Textured Black","Jeep","Step and Rocker Bars","37.35","62.30","62.30"
"82216466AA","Rock Rail Trim Cover - White","Jeep","Step and Rocker Bars","36.25","51.80","51.80"
"82210585AD","Rock Rails - 2 Door - Satin Black","Jeep","Step and Rocker Bars","461.00","629.00","629.00"
"82210575AH","Rock Rails - 4 Door - Satin Black","Jeep","Step and Rocker Bars","903.00","1235.00","1235.00"
"82210586AD","Rock Rails - 4 Door - Satin Black","Jeep","Step and Rocker Bars","510.00","689.00","689.00"
"82212157AB","Rock Rails - Satin Black","Jeep","Step and Rocker Bars","669.00","892.00","892.00"
"68708687AA","Rock Slide - Powder coated with textured Satin black","Jeep","Step and Rocker Bars","2205.00","2425.00","2425.00"
"68708689AA","Rock Slide - Powder coated with textured Satin black","Jeep","Step and Rocker Bars","2620.00","2880.00","2880.00"
"68708690AA","Rock Slide - Powder coated with textured Satin black","Jeep","Step and Rocker Bars","614.00","660.00","660.00"
"68708691AA","Rock Slide - Powder coated with textured Satin black","Jeep","Step and Rocker Bars","652.00","702.00","702.00"
"82215145AB","Side Step - 2 Door - Black","Jeep","Step and Rocker Bars","317.00","425.00","425.00"
"82215164AB","Side Step - 4 Door - Black","Jeep","Step and Rocker Bars","422.00","571.00","571.00"
"82216040AF","Side Step - Black","Jeep","Step and Rocker Bars","672.00","891.00","891.00"
"82216145AF","Side Step - Black","Jeep","Step and Rocker Bars","690.00","932.00","932.00"
"82216135AF","Side Step - Bright and Black","Jeep","Step and Rocker Bars","626.00","826.00","826.00"
"82216146AF","Side Step - Bright and Black","Jeep","Step and Rocker Bars","729.00","979.00","979.00"
"82210571AD","Side Steps - 4 Door - Factory Style","Jeep","Step and Rocker Bars","440.00","592.00","592.00"
"68707772AA","Step and Rock Slider - Textured Satin Black","Jeep","Step and Rocker Bars","2620.00","2880.00","2880.00"
"82215328AB","Tubular Side Step - 2 Door - Black","Jeep","Step and Rocker Bars","612.00","830.00","830.00"
"82215330AB","Tubular Side Step - 2 Door - Chrome","Jeep","Step and Rocker Bars","573.00","768.00","768.00"
"82215327AB","Tubular Side Step - 4 Door - Black","Jeep","Step and Rocker Bars","630.00","853.00","853.00"
"82215329AB","Tubular Side Step - 4 Door - Chrome","Jeep","Step and Rocker Bars","697.00","942.00","942.00"
"82212129AC","Tubular Side Step - 4 inch Oval - Chrome Plated Aluminum","Jeep","Step and Rocker Bars","612.00","816.00","816.00"
"82212130AC","Tubular Side Step - 4 inch Oval - Satin Black","Jeep","Step and Rocker Bars","522.00","700.00","700.00"
"82215609AB","Tubular Side Step - Black","Jeep","Step and Rocker Bars","652.00","881.00","881.00"
"82215610AB","Tubular Side Step - Powder Coated Steel","Jeep","Step and Rocker Bars","855.00","1080.00","1080.00"
"EXJ074-TX","EPYX Cab Length Step System - Textured Black","N-Fab","Step and Rocker Bars","432.00","479.99","479.99"
"EXJ184-TX","EPYX Cab Length Step System - Textured Black","N-Fab","Step and Rocker Bars","432.00","479.99","479.99"
"EXJ194T-TX","EPYX Cab Length Step System - Textured Black","N-Fab","Step and Rocker Bars","432.00","479.99","575.99"
"EXJ072-TX","EPYX Full Length Step System - Textured Black","N-Fab","Step and Rocker Bars","315.00","349.99","349.99"
"HPJ0746-TX","Podium LG Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","495.00","549.99","549.99"
"HPJ0764-TX","Podium LG Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","495.00","549.99","549.99"
"HPJ1980T-TX","Podium LG Full Length Step Bar - Stainless Steel","N-Fab","Step and Rocker Bars","495.00","549.99","659.99"
