"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"05163951AB","Touch-Up Paint Pen - Baja Yellow","RAM","Protection Products","13.45","22.60","22.60"
"05163738AB","Touch-Up Paint Pen - Billet Silver Met","RAM","Protection Products","14.05","23.50","23.50"
"68635850AA","Touch-Up Paint Pen - Black","RAM","Protection Products","14.05","23.50","23.50"
"05163957AB","Touch-Up Paint Pen - Black Forest Green","RAM","Protection Products","13.90","23.40","23.40"
"06102858AA","Touch-Up Paint Pen - Blood Orange","RAM","Protection Products","13.45","22.60","22.60"
"68323962AA","Touch-Up Paint Pen - Blue Night Metallic","RAM","Protection Products","12.15","20.30","20.30"
"05163953AB","Touch-Up Paint Pen - Blue Streak","RAM","Protection Products","13.90","23.40","23.40"
"68626620AA","Touch-Up Paint Pen - Bright Silver Metallic","RAM","Protection Products","14.05","35.40","35.40"
"04889598AC","Touch-Up Paint Pen - Bright White","RAM","Protection Products","13.90","23.40","23.40"
"04889820AC","Touch-Up Paint Pen - Brilliant Black Crystal","RAM","Protection Products","14.05","23.50","23.50"
"06102938AA","Touch-Up Paint Pen - Broom Yellow","RAM","Protection Products","8.25","13.75","13.75"
"06103205AA","Touch-Up Paint Pen - Case Red","RAM","Protection Products","14.05","23.50","23.50"
"68626622AA","Touch-Up Paint Pen - Ceramic Grey","RAM","Protection Products","14.05","23.50","23.50"
"06103286AA","Touch-Up Paint Pen - Deep Beryl Green Pearl Coat","RAM","Protection Products","13.90","23.40","23.40"
"05163648AA","Touch-Up Paint Pen - Deep Cherry Red","RAM","Protection Products","9.25","15.45","15.45"
"68154436AB","Touch-Up Paint Pen - Diamond Black Crystal","RAM","Protection Products","9.20","15.55","15.55"
"68626479AA","Touch-Up Paint Pen - Flame Red","RAM","Protection Products","14.05","23.50","23.50"
"82400890AC","Touch-Up Paint Pen - Flame Red","RAM","Protection Products","13.90","23.40","23.40"
"68183829AB","Touch-Up Paint Pen - Granite Crystal Met","RAM","Protection Products","13.90","23.40","23.40"
"05163996AB","Touch-Up Paint Pen - Header Orange Clear Coat","RAM","Protection Products","13.45","22.60","22.60"
