"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"82216218AA","Heavy-Duty Flat Splash Guard - Rubber - Rear - Black","RAM","Splash Guards","65.75","94.95","94.95"
"82216219AA","Heavy-Duty Flat Splash Guard - Rubber - Rear - Black","RAM","Splash Guards","65.75","94.95","94.95"
"82219070AA","Heavy-Duty Flat Splash Guard - Rubber - Rear - Black","RAM","Splash Guards","90.15","129.00","129.00"
"82219071AA","Heavy-Duty Flat Splash Guard - Rubber - Rear - Black","RAM","Splash Guards","90.15","129.00","129.00"
"D1594CC-6-TX","5.7 Feet Bed Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","360.00","399.99","399.99"
"HPD1594QC-6-SS","6.4 Feet Bed Podium SS Full Length Step Bar - Stainless Steel","N-Fab","Step and Rocker Bars","765.00","849.99","849.99"
"D10103CC-6","6.4 Feet Bed Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","360.00","399.99","399.99"
"D10103CC-6-TX","6.4 Feet Bed Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","360.00","399.99","399.99"
"D10110MC-6","6.4 Feet Bed Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","360.00","399.99","399.99"
"D10110MC-TX","6.4 Feet Bed Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","360.00","399.99","399.99"
"D15103CC-6-TX","6.4 Feet Bed Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","360.00","399.99","399.99"
"D1594QC-6-TX","6.4 Feet Bed Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","360.00","399.99","399.99"
"D10115CC-6","8.2 Feet Bed Wheel To Wheel Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","360.00","399.99","399.99"
"D0973QC","Cab Length Nerf Step Bar - Gloss Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D0984CC","Cab Length Nerf Step Bar - Gloss Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D1584CC","Cab Length Nerf Step Bar - Gloss Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D1980CC","Cab Length Nerf Step Bar - Gloss Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D2080CC","Cab Length Nerf Step Bar - Gloss Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D0952RC-TX","Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D0973QC-TX","Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D0984CC-TX","Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D1089MC-TX","Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D1573QC-TX","Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D1584CC-TX","Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D1967QC-TX","Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D1980CC-TX","Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"D2080CC-TX","Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","270.00","299.99","299.99"
"EXD09CC-TX","EPYX Cab Length Step System - Textured Black","N-Fab","Step and Rocker Bars","432.00","479.99","479.99"
"EXD15CC-TX","EPYX Cab Length Step System - Textured Black","N-Fab","Step and Rocker Bars","432.00","479.99","479.99"
"EXD15QC-TX","EPYX Cab Length Step System - Textured Black","N-Fab","Step and Rocker Bars","405.00","449.99","449.99"
"EXD19CC-TX","EPYX Cab Length Step System - Textured Black","N-Fab","Step and Rocker Bars","432.00","479.99","479.99"
"EXD19QC-TX","EPYX Cab Length Step System - Textured Black","N-Fab","Step and Rocker Bars","432.00","479.99","479.99"
"EXD20CC-TX","EPYX Cab Length Step System - Textured Black","N-Fab","Step and Rocker Bars","432.00","479.99","479.99"
"EXD20MC-TX","EPYX Cab Length Step System - Textured Black","N-Fab","Step and Rocker Bars","432.00","479.99","479.99"
"GFD09CC-TX","Growler Cab Length Fleet Side Step - Textured Black","N-Fab","Step and Rocker Bars","540.00","599.99","599.99"
"GFD10MC-TX","Growler Cab Length Fleet Side Step - Textured Black","N-Fab","Step and Rocker Bars","540.00","599.99","599.99"
"GFD15CC-TX","Growler Cab Length Fleet Side Step - Textured Black","N-Fab","Step and Rocker Bars","540.00","599.99","599.99"
"GFD15QC-TX","Growler Cab Length Fleet Side Step - Textured Black","N-Fab","Step and Rocker Bars","540.00","599.99","599.99"
"GFD19CC-TX","Growler Cab Length Fleet Side Step - Textured Black","N-Fab","Step and Rocker Bars","540.00","599.99","599.99"
"GFD20CC-TX","Growler Cab Length Fleet Side Step - Textured Black","N-Fab","Step and Rocker Bars","540.00","599.99","599.99"
"GFD20MC-TX","Growler Cab Length Fleet Side Step - Textured Black","N-Fab","Step and Rocker Bars","540.00","599.99","599.99"
"HPD0973QC-TX","Podium LG Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","495.00","549.99","549.99"
"HPD0984CC-TX","Podium LG Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","495.00","549.99","549.99"
"HPD1573QC-TX","Podium LG Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","495.00","549.99","549.99"
"HPD1584CC-TX","Podium LG Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","495.00","549.99","549.99"
"HPD1967QC-TX","Podium LG Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","495.00","549.99","549.99"
"HPD1980CC-TX","Podium LG Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","495.00","549.99","549.99"
"HPD2080CC-TX","Podium LG Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","495.00","549.99","549.99"
"HPD2086MC-TX","Podium LG Cab Length Step Bar - Textured Black","N-Fab","Step and Rocker Bars","495.00","549.99","549.99"
"HPD0973QC-SS","Podium SS Cab Length Step Bar - Stainless Steel","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
"HPD0984CC-SS","Podium SS Cab Length Step Bar - Stainless Steel","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
"HPD1584CC-SS","Podium SS Cab Length Step Bar - Stainless Steel","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
"HPD1980CC-SS","Podium SS Cab Length Step Bar - Stainless Steel","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
"HPD2080CC-SS","Podium SS Cab Length Step Bar - Stainless Steel","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
"PRD1077CC-TX","Predator Pro Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
"PRD1571QC-TX","Predator Pro Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","585.00","649.99","649.99"
"PRD1577CC-TX","Predator Pro Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
"PRD1977CC-TX","Predator Pro Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
"PRD2080CC-TX","Predator Pro Cab Length Nerf Step Bar - Textured Black","N-Fab","Step and Rocker Bars","567.00","629.99","629.99"
"D154RKRCCS4","RKR Cab Length Rock Rail Step System - Textured Black","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
"D194RKRCCS4","RKR Cab Length Rock Rail Step System - Textured Black","N-Fab","Step and Rocker Bars","630.00","699.99","699.99"
