"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"68743829AA","BBQ Wind Screen - Medium - 24 Inch - Aluminum","Jeep","Outdoor Recreation","78.30","90.00","90.00"
"68743828AA","BBQ Wind Screen - Small - 18 Inch - Aluminum","Jeep","Outdoor Recreation","60.90","70.00","70.00"
"68650462AA","CB Radio","Jeep","Outdoor Recreation","176.00","208.00","208.00"
"68650463AA","CB Radio","Jeep","Outdoor Recreation","246.00","290.00","290.00"
"68650464AA","CB Radio","Jeep","Outdoor Recreation","246.00","290.00","290.00"
"68741980AA","CB Radio - 250 GMRS","Jeep","Outdoor Recreation","86.96","99.95","99.95"
"68741981AA","CB Radio - 450 GMRS","Jeep","Outdoor Recreation","114.36","129.95","129.95"
"68741982AA","CB Radio - 500 GMRS","Jeep","Outdoor Recreation","131.96","149.95","149.95"
"68727416AA","Double Faucet Tower Kit - Clamp-On","Jeep","Outdoor Recreation","250.75","295.00","295.00"
"68727419AA","Double Faucet Tower Kit and Keg Keeper Bag - Clamp-On","Jeep","Outdoor Recreation","368.00","439.00","439.00"
"68714724AA","Garbage Bag Holder - SeaSucker Waste Band","Jeep","Outdoor Recreation","111.00","155.00","155.00"
"68730268AA","Heated Coffee Mug - 14 oz - Built-in Battery - Ember - Black","Jeep","Outdoor Recreation","151.84","174.53","174.53"
"68730269AA","Heated Coffee Mug - 14 oz - Built-in Battery - Ember - White","Jeep","Outdoor Recreation","151.84","174.53","174.53"
"68730265AA","Heated Travel Mug - 12 oz - Built-in Battery - Ember - Black","Jeep","Outdoor Recreation","199.56","226.77","226.77"
"68730267AA","Heated Tumbler - 16 oz - Built-in Battery - Ember - Black","Jeep","Outdoor Recreation","187.00","213.00","213.00"
"68714723AA","Heavy-Duty Flashlight and Mount - SeaSucker","Jeep","Outdoor Recreation","84.50","123.00","123.00"
"68663291AA","Hi-lift Jack Mount - SeaSucker","Jeep","Outdoor Recreation","192.00","227.00","227.00"
"TCXT9035","Hitch Mount Bicycle Carrier - 1.25 Inch Hitch","Jeep","Outdoor Recreation","765.00","899.95","899.95"
"TCXT9034","Hitch Mount Bicycle Carrier - 2 Inch Hitch - Thule","Jeep","Outdoor Recreation","788.00","928.00","928.00"
"TC905800","Hitch Mount Bike Carrier - 2 Bike","Jeep","Outdoor Recreation","333.00","392.00","392.00"
"68727409AA","Hitch Mount Grill - F-20 - Dual Swing","Jeep","Outdoor Recreation","742.90","874.00","874.00"
"TC905600","Hitch Mount Hanging Bike Carrier - 4 Bike - Thule","Jeep","Outdoor Recreation","394.00","465.00","465.00"
