"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"82215196","Trailer Tow Adapter Kit - TeleSwivel 210","RAM","Hitch and Accessories","1145.00","1445.00","1445.00"
"82214341AF","Trailer Tow Harness - 4 Way and 7 Way","RAM","Hitch and Accessories","379.00","508.00","508.00"
"82213930AH","Trailer Tow Wiring Harness","RAM","Hitch and Accessories","355.00","476.00","476.00"
"82212195AB","Trailer Wiring Harness - Fifth Wheel","RAM","Hitch and Accessories","115.00","165.00","165.00"
"82211065AJ","Sports Hood with Integrated Scoops","RAM","Hoods","1220.00","1780.00","1780.00"
"82215272AD","Bed Light Kit","RAM","Lighting","168.00","249.00","249.00"
"82215795AD","Bed Light Kit","RAM","Lighting","259.00","347.00","347.00"
"68626150AA","Bumper Light Bar Kit","RAM","Lighting","592.00","697.00","697.00"
"68626151AA","Fog Pocket Light Kit","RAM","Lighting","497.00","584.95","584.95"
"68626153AA","Fog Pocket Light Kit","RAM","Lighting","341.00","402.00","402.00"
"68626155AA","Fog Pocket Light Kit","RAM","Lighting","251.00","294.95","294.95"
"82214239AB","Interior Cargo Lighting Strip","RAM","Lighting","237.00","323.00","323.00"
"82215274AE","Off-Road LED Light Kit","RAM","Lighting","655.00","893.00","893.00"
"82216514AA","Off-Road LED Light Kit","RAM","Lighting","1935.00","3250.00","3250.00"
"82216127AA","Off-Road Light Mounting Bracket","RAM","Lighting","72.25","107.00","107.00"
"82211190AB","Running Light - Roof Mounted - 5 Piece","RAM","Lighting","115.00","179.00","179.00"
"68714725AA","Action Camera Flex Mount - SeaSucker","RAM","Outdoor Recreation","55.65","87.60","87.60"
"68714722AA","Antenna Mount - SeaSucker WeBoost","RAM","Outdoor Recreation","95.00","135.00","135.00"
"68743830AA","BBQ Wind Screen - Large - 30 inch - Aluminum","RAM","Outdoor Recreation","100.05","115.00","115.00"
"68743829AA","BBQ Wind Screen - Medium - 24 inch - Aluminum","RAM","Outdoor Recreation","78.30","90.00","90.00"
"68743828AA","BBQ Wind Screen - Small - 18 inch - Aluminum","RAM","Outdoor Recreation","60.90","70.00","70.00"
"68650462AA","CB Radio","RAM","Outdoor Recreation","176.00","208.00","208.00"
"68650465AA","CB Radio","RAM","Outdoor Recreation","246.00","290.00","290.00"
"RAM-CB-RADIO","CB Radio","RAM","Outdoor Recreation","0.00","0.00","0.00"
"68741980AA","CB Radio - 250 GMRS","RAM","Outdoor Recreation","86.96","99.95","99.95"
"68741981AA","CB Radio - 450 GMRS","RAM","Outdoor Recreation","114.36","129.95","129.95"
"68741982AA","CB Radio - 500 GMRS","RAM","Outdoor Recreation","131.96","149.95","149.95"
"68714724AA","Garbage Bag Holder - Waste Band - SeaSucker","RAM","Outdoor Recreation","111.00","155.00","155.00"
"68714723AA","Heavy Duty Flashlight and Mount - SeaSucker","RAM","Outdoor Recreation","84.50","123.00","123.00"
"68663291AA","Hi-lift Jack Mount - SeaSucker","RAM","Outdoor Recreation","192.00","227.00","227.00"
"TCXT9034","Hitch Mount Bicycle Carrier - 2 Inch Hitch - Thule","RAM","Outdoor Recreation","788.00","928.00","928.00"
"TC905800","Hitch Mount Bike Carrier - 2 Bike","RAM","Outdoor Recreation","333.00","392.00","392.00"
"68717828AA","Hitch Mount Bike Carrier - 2 Bike - 2 inch Receiver - Sherpa - Kuat","RAM","Outdoor Recreation","639.11","809.00","809.00"
"68727409AA","Hitch Mount Grill - F-20 - Dual Swing","RAM","Outdoor Recreation","742.90","874.00","874.00"
"TC905600","Hitch Mount Hanging Bike Carrier - 4 Bike - Thule","RAM","Outdoor Recreation","394.00","465.00","465.00"
"68727410AA","Hitch Mounted Cargo and Utility Table - Ledge - Dual Swing","RAM","Outdoor Recreation","525.10","590.00","590.00"
"68727411AA","Hitch Mounted Cargo and Utility Table - XL Ledge - Dual Swing","RAM","Outdoor Recreation","472.50","525.00","525.00"
"68727412AA","Hitch Mounted Kitchen and Cook Station - Dual Swing","RAM","Outdoor Recreation","934.50","1050.00","1050.00"
"68714717AA","Hydraulic Jack Mount - SeaSucker","RAM","Outdoor Recreation","165.00","219.00","219.00"
