"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"PERFORMANCE-  TIRES-BEST-20","Best Performance Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-  TIRES-BEST-21","Best Performance Tires - 21 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-T  IRES-BETTER-16","Better Performance Tires - 16 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-T  IRES-BETTER-17","Better Performance Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-T  IRES-BETTER-18","Better Performance Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-T  IRES-BETTER-19","Better Performance Tires - 19 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-T  IRES-BETTER-20","Better Performance Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-T  IRES-BETTER-21","Better Performance Tires - 21 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-TIRES-16","Good Performance Tires  - 16 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-TIRES-17","Good Performance Tires - 17 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-TIRES-18","Good Performance Tires - 18 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-TIRES-19","Good Performance Tires - 19 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-TIRES-20","Good Performance Tires - 20 inch","Universal","Tires","0.01","0.02","0.02"
"PERFORMANCE-TIRES-21","Good Performance Tires - 21 inch","Universal","Tires","0.01","0.02","0.02"
"ALIGNMENT-CAR","4 Wheel Auto Alignment","Universal","Wheel Accessories","0.01","0.02","0.02"
"ALIGNMENT-PE  RFORMANCE-CAR","4 Wheel Performance Auto Alignment","Universal","Wheel Accessories","0.01","0.02","0.02"
"CENTER-CAPS","Center Caps","Universal","Wheel Accessories","0.01","0.02","0.02"
"LUG-NUTS","Lug Nuts","Universal","Wheel Accessories","0.01","0.02","0.02"
"NITROGEN-FILL","Nitrogen Filled Tires","Universal","Wheel Accessories","0.01","0.02","0.02"
"TPMS-SENSOR","TPMS sensor","Universal","Wheel Accessories","0.01","0.02","0.02"
"CERAMIC-SUNROOF","Ceramic Sunroof","Window Film","Window Tint","100.00","499.00","499.00"
"Ceramic-Windshield","Ceramic Windshield Tint","Window Film","Window Tint","180.00","499.00","499.00"
"Generic-Windshield","Generic Windshield Tint","Window Film","Window Tint","160.00","349.00","349.00"
"Tint-Sunroof","Sunroof Window Tint","Window Film","Window Tint","80.00","249.00","249.00"
