"part_number","name","manufacturer","category","existing_cost","existing_msrp","existing_retail"
"41578SK","Cargo Liner - Behind 2nd Row Seat with Bumper Protector - Tan","Weathertech","Floor Mats","157.21","184.95","221.94"
"41656SK","Cargo Liner - Behind 2nd Row Seat with Bumper Protector - Tan","Weathertech","Floor Mats","157.21","184.95","221.94"
"41745SK","Cargo Liner - Behind 2nd Row Seat with Bumper Protector - Tan","Weathertech","Floor Mats","157.21","184.95","221.94"
"401479","Cargo Liner - Behind 3rd Row Seat - Black","Weathertech","Floor Mats","118.96","139.95","167.94"
"401487","Cargo Liner - Behind 3rd Row Seat - Black","Weathertech","Floor Mats","127.46","149.95","179.94"
"401700","Cargo Liner - Behind 3rd Row Seat - Black","Weathertech","Floor Mats","118.96","139.95","160.94"
"431479","Cargo Liner - Behind 3rd Row Seat - Cocoa","Weathertech","Floor Mats","118.96","139.95","167.94"
"421479","Cargo Liner - Behind 3rd Row Seat - Grey","Weathertech","Floor Mats","118.96","139.95","167.94"
"421487","Cargo Liner - Behind 3rd Row Seat - Grey","Weathertech","Floor Mats","127.46","149.95","179.94"
"421700","Cargo Liner - Behind 3rd Row Seat - Grey","Weathertech","Floor Mats","118.96","139.95","160.94"
"411479","Cargo Liner - Behind 3rd Row Seat - Tan","Weathertech","Floor Mats","118.96","139.95","167.94"
"411487","Cargo Liner - Behind 3rd Row Seat - Tan","Weathertech","Floor Mats","127.46","149.95","179.94"
"411700","Cargo Liner - Behind 3rd Row Seat - Tan","Weathertech","Floor Mats","118.96","139.95","160.94"
"401479SK","Cargo Liner - Behind 3rd Row Seat with Bumper Protector - Black","Weathertech","Floor Mats","157.21","184.95","221.94"
"401487SK","Cargo Liner - Behind 3rd Row Seat with Bumper Protector - Black","Weathertech","Floor Mats","165.71","194.95","233.94"
"401700SK","Cargo Liner - Behind 3rd Row Seat with Bumper Protector - Black","Weathertech","Floor Mats","157.21","184.95","212.69"
"431479SK","Cargo Liner - Behind 3rd Row Seat with Bumper Protector - Cocoa","Weathertech","Floor Mats","157.21","184.95","221.94"
"421479SK","Cargo Liner - Behind 3rd Row Seat with Bumper Protector - Grey","Weathertech","Floor Mats","157.21","184.95","221.94"
"421487SK","Cargo Liner - Behind 3rd Row Seat with Bumper Protector - Grey","Weathertech","Floor Mats","165.71","194.95","233.94"
"421700SK","Cargo Liner - Behind 3rd Row Seat with Bumper Protector - Grey","Weathertech","Floor Mats","157.21","184.95","212.69"
"411479SK","Cargo Liner - Behind 3rd Row Seat with Bumper Protector - Tan","Weathertech","Floor Mats","157.21","184.95","221.94"
"411487SK","Cargo Liner - Behind 3rd Row Seat with Bumper Protector - Tan","Weathertech","Floor Mats","165.71","194.95","233.94"
"411700SK","Cargo Liner - Behind 3rd Row Seat with Bumper Protector - Tan","Weathertech","Floor Mats","157.21","184.95","212.69"
"401043","Cargo Liner - Black","Weathertech","Floor Mats","118.96","139.95","167.94"
"431055","Cargo Liner - Cocoa","Weathertech","Floor Mats","118.96","139.95","167.94"
"43578","Cargo Liner - Cocoa","Weathertech","Floor Mats","118.96","139.95","167.94"
"43745","Cargo Liner - Cocoa","Weathertech","Floor Mats","118.96","139.95","167.94"
"43821","Cargo Liner - Cocoa","Weathertech","Floor Mats","101.96","119.95","143.94"
"421043","Cargo Liner - Grey","Weathertech","Floor Mats","118.96","139.95","167.94"
"421055","Cargo Liner - Grey","Weathertech","Floor Mats","118.96","139.95","167.94"
"42518","Cargo Liner - Grey","Weathertech","Floor Mats","118.96","139.95","167.94"
"411043","Cargo Liner - Tan","Weathertech","Floor Mats","118.96","139.95","167.94"
"411055","Cargo Liner - Tan","Weathertech","Floor Mats","118.96","139.95","167.94"
"41366","Cargo Liner - Tan","Weathertech","Floor Mats","118.96","139.95","167.94"
"41518","Cargo Liner - Tan","Weathertech","Floor Mats","118.96","139.95","167.94"
"41656","Cargo Liner - Tan","Weathertech","Floor Mats","118.96","139.95","167.94"
"41745","Cargo Liner - Tan","Weathertech","Floor Mats","118.96","139.95","167.94"
"41821","Cargo Liner - Tan","Weathertech","Floor Mats","101.96","119.95","143.94"
"440861","Floor Liner - 1st Row - Black","Weathertech","Floor Mats","118.96","139.95","167.94"
"441051","Floor Liner - 1st Row - Black","Weathertech","Floor Mats","118.96","139.95","167.94"
